brand,model,launch_year,km_driven,launch_price,current_price
Hyundai,i20,2019,16790,841596,495167
Honda,City,2023,89523,1053920,884389
Hyundai,i20,2024,71587,794194,626303
Maruti,Baleno,2022,86614,799692,603856
Mahindra,Scorpio,2025,61213,1606667,1516031
Honda,City,2018,22889,1145913,401069
Hyundai,Creta,2020,56213,1459963,510987
Mahindra,XUV300,2022,23130,1290871,821334
Mahindra,XUV300,2025,87534,1247911,1107758
Honda,City,2022,108404,1190738,746587
Tata,Punch,2020,112446,884399,380392
Hyundai,i20,2024,48596,828211,691053
Hyundai,Venue,2015,97863,1119151,403790
Honda,City,2020,41923,1042485,718968
Mahindra,Thar Roxx,2024,46445,1864994,1456146
Maruti,Swift,2019,79204,770659,269730
Tata,Nexon,2023,56596,1273587,1007472
Maruti,Swift,2022,25201,754473,455470
Maruti,Swift,2022,48229,737033,548463
Maruti,Baleno,2015,21650,780956,273334
Mahindra,XUV300,2019,36934,1381323,483463
Hyundai,Creta,2016,80173,1404477,491566
Tata,Punch,2019,72843,873518,305731
Honda,City,2024,106886,1104738,842300
Hyundai,Venue,2018,88927,1230917,430820
Tata,Punch,2017,9423,954903,334216
Hyundai,Creta,2025,111471,1350584,1214985
Hyundai,Venue,2021,81302,1203086,688310
Maruti,Brezza,2016,22410,1094676,470814
Hyundai,Creta,2018,12109,1406670,492334
Maruti,Brezza,2017,98539,1131385,395984
Mahindra,XUV300,2025,97946,1355761,1197468
Maruti,Baleno,2021,30109,869868,354966
Hyundai,Creta,2020,77712,1384285,830944
Hyundai,Creta,2017,99539,1497579,524152
Mahindra,XUV300,2017,9161,1385029,484760
Hyundai,Creta,2024,30351,1484494,1143913
Maruti,Brezza,2016,59919,1130738,395758
Hyundai,i20,2022,27063,786146,550804
Honda,City,2017,24006,1139954,398983
Maruti,Swift,2024,110473,600808,471525
Maruti,Brezza,2020,111240,1049716,468869
Maruti,Brezza,2019,30531,1151053,402868
Tata,Harrier,2021,49479,1819422,774044
Mahindra,Scorpio,2022,92931,1550351,891137
Mahindra,Thar Roxx,2016,82890,1897674,664185
Honda,Civic,2023,16065,1842448,1473361
Honda,Amaze,2022,68148,835625,530633
Honda,Civic,2017,57915,1875646,656476
Hyundai,Creta,2019,55017,1335815,517947
Mahindra,Thar Roxx,2024,104839,1793761,1444430
Maruti,Brezza,2024,26692,1063412,810789
Maruti,Brezza,2024,95522,1027545,812125
Honda,City,2023,7464,1153100,744230
Mahindra,XUV300,2025,16873,1325718,1195321
Tata,Punch,2018,20470,872751,337004
Maruti,Swift,2021,42506,625747,290171
Honda,Amaze,2023,39451,794689,515427
Hyundai,Creta,2021,77214,1303524,677272
Maruti,Brezza,2019,11420,1137220,398027
Maruti,Baleno,2022,37010,853009,624623
Maruti,Brezza,2022,78821,1037387,637021
Hyundai,i20,2017,88925,727907,275436
Hyundai,i20,2025,66283,758385,690805
Tata,Nexon,2019,23112,1147933,401776
Hyundai,i20,2022,73297,745486,448287
Honda,Amaze,2019,56711,894539,313088
Mahindra,Thar Roxx,2016,71632,1875381,656383
Hyundai,i20,2017,80105,899324,314763
Tata,Nexon,2025,36561,1159855,1097859
Honda,City,2023,6419,1012178,754573
Maruti,Swift,2025,36528,768118,719418
Hyundai,Venue,2023,36217,1236520,1030786
Hyundai,Creta,2025,18128,1318443,1163078
Mahindra,Thar Roxx,2017,111170,1948800,682080
Hyundai,Creta,2016,41150,1436869,502904
Mahindra,Thar Roxx,2016,32148,1763284,617149
Hyundai,Creta,2025,91017,1381913,1216642
Tata,Harrier,2019,88222,1708769,598069
Maruti,Brezza,2015,85784,1167069,408474
Hyundai,Creta,2021,25496,1375142,786400
Hyundai,Creta,2024,20345,1438518,1181456
Tata,Harrier,2018,81849,1840973,644340
Tata,Harrier,2020,98293,1719070,695020
Mahindra,Scorpio,2025,29667,1659264,1552107
Maruti,Swift,2017,105419,631035,220862
Tata,Harrier,2021,103734,1719308,775652
Maruti,Brezza,2022,104343,1177013,704363
Hyundai,Venue,2022,45920,1231191,720534
Hyundai,Creta,2015,18568,1483488,519220
Honda,Civic,2018,64892,1846092,646132
Maruti,Swift,2020,60254,715139,442990
Tata,Harrier,2020,17559,1804283,939102
Honda,Amaze,2018,59109,794760,278166
Honda,City,2023,76697,1191866,918390
Mahindra,Thar Roxx,2024,9284,1910503,1708230
Honda,Amaze,2018,64647,760972,424094
Honda,Civic,2021,110054,1847620,1129341
Honda,Amaze,2017,108143,830454,308796
Honda,City,2022,118576,1065933,743493
Honda,Civic,2018,58758,1855018,649256
Tata,Punch,2019,23119,954583,478072
Honda,City,2018,10412,1054285,408644
Maruti,Swift,2022,90388,710411,445421
Mahindra,Thar Roxx,2024,75936,1836541,1397325
Maruti,Swift,2025,89986,657442,619365
Mahindra,XUV300,2015,83276,1236624,432818
Mahindra,Scorpio,2019,7533,1614247,564986
Tata,Harrier,2018,58759,1713779,991000
Maruti,Brezza,2017,94335,1065529,372935
Tata,Punch,2015,63359,846082,296128
Maruti,Baleno,2021,66631,948919,642292
Maruti,Brezza,2018,18151,1178283,651895
Honda,Civic,2015,29153,1830590,640706
Honda,Civic,2020,57638,1795376,1014099
Maruti,Brezza,2021,60919,1000208,510189
Mahindra,Thar Roxx,2024,85436,1883301,1586172
Honda,Amaze,2021,93778,910313,674231
Hyundai,Venue,2019,84623,1287248,630054
Tata,Punch,2022,92761,953058,666781
Honda,City,2015,63499,1088679,381037
Hyundai,Venue,2015,89960,1188556,415994
Mahindra,XUV300,2016,23221,1306312,481283
Mahindra,Scorpio,2015,106836,1677522,587132
Maruti,Baleno,2024,47122,949416,802102
Maruti,Swift,2021,103979,715506,371204
Mahindra,Scorpio,2015,80951,1578512,552479
Honda,Amaze,2024,45013,869949,768021
Mahindra,Scorpio,2022,43479,1609678,971548
Tata,Punch,2016,83432,813354,284673
Hyundai,i20,2022,81577,881318,531443
Tata,Punch,2023,106532,854209,637074
Maruti,Swift,2024,15202,611813,481208
Tata,Harrier,2023,27456,1757041,1160502
Mahindra,Scorpio,2025,84618,1515369,1354803
Tata,Harrier,2016,73797,1710301,598605
Hyundai,Venue,2022,76191,1237939,758383
Maruti,Swift,2020,38658,731694,510478
Tata,Harrier,2015,91630,1830057,640519
Honda,Amaze,2017,67386,820746,287261
Honda,Civic,2025,92511,1866226,1737290
Maruti,Brezza,2022,68252,1022352,611820
Tata,Harrier,2019,27098,1841278,644447
Hyundai,Creta,2023,10714,1434639,1048576
Honda,Civic,2017,34163,1847230,646530
Hyundai,i20,2017,87239,890602,462139
Mahindra,Scorpio,2016,88512,1698899,594614
Tata,Harrier,2019,64570,1880955,718441
Maruti,Baleno,2022,66997,862843,548685
Hyundai,Venue,2018,44978,1228660,672996
Maruti,Swift,2016,15063,794855,278199
Mahindra,Scorpio,2015,92285,1689533,591336
Honda,Amaze,2024,20500,806583,638264
Maruti,Swift,2022,92894,713681,395685
Tata,Punch,2018,15844,947743,390344
Maruti,Brezza,2021,21909,1036951,769586
Tata,Harrier,2024,113804,1779631,1465883
Hyundai,Creta,2023,84295,1381166,1124260
Mahindra,Scorpio,2021,34963,1607852,734948
Maruti,Swift,2020,73251,605897,317594
Mahindra,Thar Roxx,2018,57524,1870652,654728
Mahindra,XUV300,2021,15523,1381379,921757
Hyundai,Creta,2015,77638,1305205,456821
Tata,Harrier,2024,51420,1838763,1582349
Honda,City,2024,60757,1032746,799878
Tata,Harrier,2022,98079,1722569,1351855
Maruti,Brezza,2024,51821,1173156,1021404
Honda,Amaze,2025,7651,852622,759633
Maruti,Baleno,2015,30503,756811,264883
Tata,Harrier,2019,13387,1800697,630243
Maruti,Brezza,2024,105722,1050888,800333
Tata,Nexon,2016,64598,1110724,388753
Maruti,Swift,2024,76178,714762,601214
Hyundai,i20,2015,113444,859976,331703
Maruti,Brezza,2017,11679,1173859,410850
Hyundai,i20,2018,100116,743481,338049
Mahindra,Scorpio,2017,79912,1551767,749839
Honda,City,2019,68823,1014889,355211
Mahindra,XUV300,2025,111702,1249492,1163513
Honda,Amaze,2018,60465,829349,449503
Honda,Amaze,2022,68529,760784,500127
Maruti,Baleno,2019,11765,824304,412948
Tata,Nexon,2023,37745,1230321,791470
Tata,Harrier,2018,49995,1843698,856018
Maruti,Swift,2023,43270,746510,510443
Maruti,Swift,2017,106692,612990,302698
Honda,Civic,2024,70440,1799858,1463879
Maruti,Brezza,2023,22931,1114951,937400
Mahindra,Scorpio,2020,22980,1621336,722969
Honda,Amaze,2024,104528,873257,776979
Honda,Civic,2019,28982,1862636,676947
Mahindra,Thar Roxx,2017,99709,1893817,662835
Tata,Nexon,2019,105720,1132732,592645
Honda,Amaze,2021,23590,947058,695038
Maruti,Brezza,2018,84456,1041054,364368
Hyundai,Creta,2022,38210,1488447,881857
Mahindra,Thar Roxx,2023,61401,1771566,1459869
Honda,City,2015,9860,1005016,351755
Hyundai,Venue,2016,33748,1293603,452761
Honda,City,2023,57758,1004789,836518
Mahindra,XUV300,2018,98206,1220948,427331
Hyundai,i20,2022,8873,839889,649853
Hyundai,Creta,2018,35961,1319629,461870
Mahindra,Scorpio,2024,57846,1618999,1253334
Honda,Amaze,2018,35020,811479,284017
Honda,Amaze,2020,61204,761166,370788
Tata,Harrier,2022,56985,1781959,1209141
Tata,Punch,2020,47525,977809,408052
Honda,City,2016,36699,1016963,355937
Tata,Punch,2018,87788,862347,314530
Maruti,Baleno,2018,55446,901923,315673
Maruti,Brezza,2017,98126,1087273,380545
Maruti,Brezza,2024,13949,1071553,878929
Maruti,Baleno,2018,102012,787829,449731
Hyundai,i20,2022,100704,732780,538616
Tata,Harrier,2023,18713,1852661,1331683
Maruti,Brezza,2022,22517,1011721,772232
Maruti,Swift,2016,87513,724111,253438
Tata,Nexon,2024,53285,1202736,1021316
Maruti,Brezza,2021,40465,1176261,825982
Mahindra,XUV300,2017,67806,1292729,452455
Tata,Nexon,2021,100646,1248618,547234
Honda,Civic,2022,11147,1834119,976019
Maruti,Swift,2021,101362,605668,309149
Tata,Harrier,2018,20664,1756821,643681
Mahindra,Scorpio,2025,105516,1638220,1515894
Tata,Punch,2020,40914,919261,358793
Tata,Harrier,2015,118106,1758705,615546
Mahindra,Thar Roxx,2024,25075,1919263,1618787
Tata,Punch,2025,84650,906686,816445
Mahindra,XUV300,2020,52326,1212408,789963
Maruti,Baleno,2018,73603,759731,364084
Hyundai,Creta,2016,12139,1308757,458064
Maruti,Baleno,2023,46131,842793,588115
Honda,Civic,2015,47999,1831135,640897
Maruti,Brezza,2018,60579,1077715,377200
Tata,Nexon,2025,33936,1233255,1096253
Hyundai,i20,2018,114863,807889,475522
Tata,Punch,2020,50410,870134,304546
Honda,City,2022,73359,1073353,814173
Mahindra,XUV300,2025,97963,1285428,1220848
Honda,Amaze,2019,104219,932089,326231
Honda,Civic,2022,15309,1715034,1091971
Mahindra,Scorpio,2015,90833,1675897,586563
Maruti,Baleno,2020,70870,769126,486529
Mahindra,Thar Roxx,2015,10510,1793601,710587
Honda,Amaze,2021,85124,858656,425095
Mahindra,Thar Roxx,2020,42880,1770237,793743
Hyundai,Venue,2023,101237,1221896,1001055
Honda,Amaze,2025,15407,874202,803192
Hyundai,Creta,2025,69222,1341976,1269755
Mahindra,Scorpio,2017,32810,1683963,697660
Maruti,Swift,2016,33610,755841,264544
Honda,Amaze,2020,112851,789100,327810
Tata,Nexon,2016,55235,1228508,429977
Hyundai,Venue,2023,88539,1138095,850500
Hyundai,Venue,2018,73955,1266531,443285
Tata,Nexon,2020,57123,1206825,793037
Honda,City,2022,5299,1149089,617367
Hyundai,Venue,2015,72238,1150381,402633
Honda,City,2017,11896,1123406,562445
Hyundai,Creta,2023,6357,1491208,1215241
Hyundai,i20,2022,76712,763312,548510
Tata,Punch,2015,102280,908668,318033
Hyundai,i20,2019,28351,850840,525618
Tata,Nexon,2022,68895,1275503,929855
Tata,Nexon,2019,69406,1112972,507511
Hyundai,Creta,2018,21578,1383500,755571
Maruti,Swift,2021,85767,712426,406395
Mahindra,Scorpio,2020,94929,1654447,579056
Hyundai,i20,2024,68664,880736,708260
Hyundai,Creta,2024,96820,1319480,1004208
Mahindra,XUV300,2018,41117,1392138,487248
Honda,City,2018,100817,1044665,365632
Hyundai,Creta,2020,54168,1451824,659032
Tata,Harrier,2015,61699,1702479,595867
Honda,Civic,2023,87974,1885373,1465039
Hyundai,Venue,2022,68176,1222734,801378
Tata,Punch,2018,74801,824339,293651
Honda,Civic,2017,66598,1858271,650394
Tata,Punch,2018,28835,823022,332914
Mahindra,XUV300,2022,62078,1299027,1030903
Hyundai,i20,2015,80093,740524,259183
Mahindra,Scorpio,2023,113683,1543744,1215205
Tata,Nexon,2016,71086,1166143,532998
Mahindra,Thar Roxx,2016,25262,1881778,761341
Tata,Harrier,2018,66033,1843076,921749
Honda,City,2017,55727,1044162,365456
Honda,Amaze,2020,76696,793955,550318
Tata,Nexon,2019,45165,1229423,611542
Hyundai,Venue,2015,95935,1226003,429101
Tata,Nexon,2023,72125,1122829,951342
Honda,City,2022,60128,1199473,899131
Hyundai,Venue,2015,35032,1173471,410714
Maruti,Brezza,2019,113631,1131817,669217
Honda,City,2020,102921,1070464,420808
Honda,City,2016,39884,1010402,374150
Tata,Punch,2023,37455,965989,754862
Tata,Nexon,2017,71926,1196736,418857
Mahindra,XUV300,2023,13028,1231803,1039867
Mahindra,Scorpio,2018,46850,1677597,587158
Tata,Punch,2024,64144,856699,730545
Honda,Amaze,2015,49055,834891,292211
Mahindra,XUV300,2022,66648,1250442,847880
Mahindra,Thar Roxx,2016,17489,1800642,630224
Hyundai,Venue,2020,54868,1156641,521791
Honda,Amaze,2016,6790,893710,331952
Mahindra,Thar Roxx,2017,119684,1870516,654680
Honda,Amaze,2020,6950,911202,394712
Mahindra,Thar Roxx,2016,110579,1792466,627363
Honda,City,2018,47692,1040730,364255
Hyundai,i20,2025,82776,840390,753653
Tata,Punch,2025,82373,864870,817610
Mahindra,Thar Roxx,2024,48798,1845069,1535408
Tata,Punch,2021,68300,806532,461540
Maruti,Swift,2022,103692,759616,454857
Tata,Punch,2021,76121,985658,528024
Honda,Amaze,2017,21104,757447,265106
Tata,Nexon,2015,7784,1225502,428925
Honda,Civic,2025,81878,1848211,1656434
Mahindra,Scorpio,2025,113141,1607868,1467202
Tata,Nexon,2021,73920,1157199,599280
Hyundai,Creta,2025,10240,1445455,1353509
Mahindra,XUV300,2016,88103,1227874,429755
Honda,Civic,2019,23398,1756479,1056665
Mahindra,XUV300,2022,119483,1315792,1029242
Hyundai,i20,2017,74893,796752,348425
Hyundai,Venue,2023,88751,1284790,910290
Maruti,Brezza,2015,111206,1180953,413333
Hyundai,i20,2023,13833,786717,587961
Maruti,Baleno,2017,26415,855373,400836
Hyundai,Creta,2025,93600,1410308,1243693
Hyundai,Venue,2021,60227,1186100,619283
Honda,Amaze,2022,89837,771800,609851
Hyundai,i20,2019,103530,859193,300717
Honda,Civic,2020,114938,1806105,804698
Hyundai,i20,2016,6411,850036,297512
Maruti,Brezza,2016,5759,1138809,398583
Tata,Nexon,2015,103813,1192859,417500
Honda,Civic,2025,117737,1806986,1655575
Honda,Amaze,2024,115683,876722,677955
Hyundai,Creta,2017,9146,1477463,517112
Tata,Harrier,2024,96568,1853592,1451714
Maruti,Swift,2024,35590,616795,531586
Maruti,Brezza,2015,103526,1010969,353839
Mahindra,Thar Roxx,2022,96310,1784366,1000354
Maruti,Swift,2021,97655,651173,443166
Tata,Nexon,2018,20255,1215780,425523
Honda,Civic,2020,79022,1840981,798986
Tata,Nexon,2015,36030,1250233,437581
Honda,Amaze,2017,109420,901501,315525
Hyundai,Creta,2021,116272,1475401,643727
Mahindra,Thar Roxx,2019,45515,1931253,862494
Hyundai,i20,2015,11996,815496,285423
Tata,Harrier,2019,8423,1756135,614647
Mahindra,Scorpio,2024,93787,1691620,1509514
Maruti,Brezza,2017,83804,1101289,385451
Tata,Punch,2015,103614,833988,291895
Honda,Civic,2024,26778,1837648,1430503
Mahindra,XUV300,2022,83142,1207317,776163
Honda,Civic,2021,19807,1799468,1279692
Tata,Nexon,2025,64745,1176686,1113885
Hyundai,Creta,2023,114436,1345676,996434
Mahindra,Scorpio,2016,44856,1693457,592709
Mahindra,XUV300,2018,100201,1221970,427689
Tata,Punch,2021,16836,985277,460453
Mahindra,Thar Roxx,2015,49740,1816358,635725
Honda,City,2025,65170,1163116,1056200
Maruti,Brezza,2018,38148,1067900,589912
Mahindra,Scorpio,2022,36298,1631014,1287182
Maruti,Baleno,2025,103317,797901,716716
Maruti,Brezza,2021,48808,1145517,847274
Tata,Nexon,2025,8496,1112113,998061
Mahindra,Thar Roxx,2015,41805,1847092,805140
Tata,Nexon,2024,49663,1145122,920275
Tata,Harrier,2023,9220,1818686,1355254
Mahindra,Thar Roxx,2025,17242,1753381,1618061
Mahindra,XUV300,2018,31598,1311249,688161
Hyundai,i20,2021,41140,787450,320166
Maruti,Baleno,2018,85178,791023,276858
Mahindra,XUV300,2018,60514,1219649,540135
Maruti,Swift,2018,104380,615151,215302
Mahindra,XUV300,2025,85883,1249696,1183433
Maruti,Brezza,2016,13012,1011925,354173
Tata,Nexon,2022,118437,1148997,864199
Maruti,Brezza,2023,52994,1049698,835175
Maruti,Swift,2015,38922,762918,317127
Mahindra,Thar Roxx,2018,116505,1874944,656230
Tata,Nexon,2017,94922,1178255,412389
Hyundai,Venue,2025,35353,1199414,1086658
Hyundai,Creta,2018,102564,1348614,472014
Hyundai,Creta,2022,31647,1319407,790751
Tata,Harrier,2019,18374,1813602,667205
Honda,Amaze,2015,107948,857905,300266
Maruti,Baleno,2023,82076,781929,637876
Hyundai,i20,2018,28676,852819,298486
Maruti,Baleno,2021,36085,802672,574391
Tata,Nexon,2015,119607,1278048,447316
Hyundai,i20,2015,47891,793965,277887
Mahindra,XUV300,2019,27633,1221917,428371
Hyundai,Venue,2017,58453,1279592,447857
Hyundai,Creta,2015,52231,1482895,519013
Maruti,Baleno,2019,99205,907194,317517
Hyundai,Venue,2019,91913,1103679,386287
Honda,Amaze,2019,88893,934374,327030
Hyundai,i20,2021,65432,874610,357672
Honda,Amaze,2017,119113,836392,292737
Mahindra,Scorpio,2022,48009,1614396,1283445
Honda,Civic,2019,12720,1748359,847513
Maruti,Swift,2016,108809,675383,298684
Hyundai,Creta,2023,98250,1335577,924306
Hyundai,Venue,2021,112988,1209326,646913
Mahindra,XUV300,2018,79450,1315506,595076
Hyundai,Venue,2019,113286,1192546,596194
Mahindra,Scorpio,2024,23485,1510836,1212238
Honda,Amaze,2023,38867,931555,772650
Honda,City,2019,7755,1089503,700935
Honda,Civic,2019,61775,1814911,683907
Tata,Harrier,2020,49208,1869136,654197
Mahindra,Scorpio,2018,35938,1693228,1004340
Honda,Civic,2016,8129,1847211,794005
Tata,Nexon,2015,96281,1298669,454534
Mahindra,Thar Roxx,2024,109928,1826761,1482087
Honda,Amaze,2020,31738,771627,439906
Hyundai,i20,2019,97407,739822,284179
Maruti,Baleno,2025,86240,889594,803160
Hyundai,Venue,2018,108019,1173622,410767
Honda,Civic,2017,34727,1807357,632574
Mahindra,Thar Roxx,2019,75752,1901250,665437
Hyundai,Venue,2023,103098,1133680,842316
Tata,Nexon,2016,72697,1154039,469220
Mahindra,Thar Roxx,2015,114383,1816549,635792
Honda,Civic,2017,59679,1712987,879768
Tata,Harrier,2017,112230,1842485,996138
Maruti,Brezza,2024,15250,1104851,913853
Honda,City,2022,6791,1153237,850413
Honda,City,2024,79718,1082237,940000
Maruti,Swift,2021,15874,666157,400973
Honda,City,2015,73696,1028502,359975
Honda,Civic,2023,39000,1731783,1232824
Maruti,Swift,2017,46275,736721,257852
Hyundai,Creta,2018,77709,1449685,507389
Mahindra,XUV300,2024,32532,1356399,1177070
Mahindra,Scorpio,2023,34108,1603976,1144671
Hyundai,Creta,2021,42572,1371324,689167
Honda,Civic,2017,29030,1821830,637640
Honda,Amaze,2017,91528,946747,368093
Hyundai,Venue,2015,57423,1238400,550370
Tata,Punch,2019,10006,880582,559353
Maruti,Swift,2018,43372,776885,271909
Honda,Civic,2018,18630,1812900,634515
Honda,Civic,2022,94585,1894965,1025213
Maruti,Baleno,2020,82506,932657,538798
Honda,City,2025,118130,1057756,970850
Tata,Nexon,2019,116008,1207820,422737
Tata,Nexon,2023,42183,1119072,722070
Tata,Punch,2015,62794,879805,307931
Hyundai,i20,2023,114584,899831,642239
Hyundai,i20,2020,89543,704373,434238
Mahindra,XUV300,2024,16237,1335340,1098798
Maruti,Baleno,2017,39458,806796,282378
Hyundai,Creta,2016,111755,1354331,503274
Mahindra,XUV300,2021,54477,1307218,885303
Honda,City,2021,22471,1192658,497096
Tata,Nexon,2022,71068,1128500,871056
Mahindra,Scorpio,2025,55786,1658294,1488151
Maruti,Swift,2016,61553,701086,306074
Mahindra,Thar Roxx,2023,109804,1850649,1460102
Tata,Nexon,2020,29822,1195938,744612
Hyundai,i20,2017,21189,733789,256826
Tata,Nexon,2018,57309,1174652,411128
Mahindra,XUV300,2017,75966,1361054,476368
Honda,City,2018,82307,1028490,359971
Honda,City,2020,32627,1107496,515960
Maruti,Swift,2022,62925,603557,476001
Maruti,Brezza,2016,45745,1102306,385807
Hyundai,Venue,2020,35835,1145695,468519
Tata,Harrier,2024,34058,1704400,1335942
Hyundai,i20,2025,111624,784103,711090
Honda,City,2018,105006,1030631,585866
Maruti,Brezza,2025,93729,1014442,906340
Hyundai,i20,2021,92784,891372,665083
Honda,City,2015,29308,1036041,362614
Mahindra,Thar Roxx,2022,59156,1879317,1468976
Hyundai,Creta,2019,7264,1361599,543417
Maruti,Brezza,2019,91344,1071421,374997
Mahindra,XUV300,2018,94477,1223015,428055
Mahindra,Thar Roxx,2024,110563,1819651,1550646
Hyundai,Venue,2016,97413,1210622,423717
Honda,Civic,2019,81234,1747175,611511
Honda,Amaze,2020,16229,758736,265557
Hyundai,Venue,2023,94931,1258371,873416
Honda,City,2020,67414,1190589,505797
Tata,Punch,2025,45753,933077,876511
Mahindra,Scorpio,2024,10916,1518276,1179964
Maruti,Swift,2021,118093,695342,493956
Honda,Amaze,2020,30398,777883,369167
Tata,Nexon,2020,60840,1177107,656855
Maruti,Baleno,2019,115390,898563,314497
Hyundai,Venue,2024,75858,1247126,970400
Hyundai,Venue,2015,22968,1193497,417723
Tata,Nexon,2023,108072,1172321,831976
Maruti,Swift,2016,40855,661227,231429
Maruti,Brezza,2022,35929,1191190,820880
Hyundai,Venue,2018,73706,1239329,508202
Tata,Punch,2019,79008,847194,296517
Tata,Nexon,2020,117995,1264498,566120
Tata,Harrier,2018,13239,1886160,660156
Tata,Punch,2020,40327,866188,506853
Maruti,Baleno,2020,109901,850027,568925
Maruti,Swift,2022,13770,795114,549452
Hyundai,i20,2023,72769,735459,550923
Honda,Amaze,2025,64690,794333,747555
Maruti,Brezza,2018,6411,1193539,439760
Honda,Civic,2023,30073,1743088,1134459
Tata,Harrier,2023,97436,1747494,1444834
Honda,Amaze,2022,118169,934285,497374
Maruti,Baleno,2017,88164,947040,331464
Honda,City,2025,97760,1083198,964380
Tata,Nexon,2017,44410,1264491,442571
Honda,Amaze,2021,45176,813081,352130
Maruti,Swift,2024,57294,749005,602637
Maruti,Swift,2019,111559,684532,239586
Hyundai,Venue,2024,63011,1266688,1047345
Honda,City,2016,70526,1062691,371941
Mahindra,XUV300,2021,60603,1392367,924366
Mahindra,Thar Roxx,2017,40442,1778319,622411
Tata,Nexon,2016,110215,1249568,460198
Tata,Harrier,2025,23434,1840641,1641880
Mahindra,Scorpio,2016,100308,1602714,560949
Mahindra,Thar Roxx,2025,65275,1755100,1569515
Honda,Civic,2019,54236,1717112,600989
Mahindra,Thar Roxx,2025,44077,1858865,1695913
Maruti,Brezza,2015,52019,1183320,414162
Hyundai,Creta,2020,71143,1304994,622118
Mahindra,Scorpio,2018,60405,1637214,573024
Honda,Civic,2025,9239,1729438,1614904
Maruti,Baleno,2016,41927,878178,307362
Honda,City,2016,60906,1145412,400894
Mahindra,XUV300,2017,68387,1352408,473342
Mahindra,Scorpio,2019,96334,1616668,911253
Mahindra,XUV300,2016,65944,1347186,471515
Honda,City,2025,39116,1098792,1022613
Honda,City,2022,12132,1035093,790157
Honda,Amaze,2015,103012,885061,321109
Hyundai,Venue,2024,9162,1230804,1097961
Tata,Harrier,2016,108088,1713836,697847
Tata,Nexon,2016,92261,1251151,437902
Tata,Nexon,2020,76525,1195010,425247
Mahindra,Scorpio,2020,83421,1642067,887703
Honda,Amaze,2021,15725,909391,591003
Hyundai,i20,2016,57005,768397,363962
Maruti,Swift,2019,22097,634556,317732
Maruti,Brezza,2016,30327,1183395,418407
Hyundai,Creta,2023,44991,1427916,1188932
Hyundai,Creta,2018,74838,1307641,587765
Hyundai,i20,2016,28529,755458,264410
Tata,Harrier,2018,99910,1831000,640850
Hyundai,i20,2021,68880,866854,628126
Mahindra,XUV300,2017,29914,1254306,593190
Honda,Civic,2020,115276,1821293,786294
Hyundai,i20,2017,60502,700153,245053
Mahindra,XUV300,2021,105727,1230838,811936
Tata,Nexon,2022,58707,1167860,873310
Hyundai,Venue,2022,35416,1227185,729458
Tata,Harrier,2018,110608,1788686,626040
Maruti,Brezza,2015,48257,1060475,371166
Mahindra,Thar Roxx,2019,74730,1866068,1181468
Tata,Punch,2020,31069,961492,373929
Mahindra,Thar Roxx,2021,74229,1866158,1167540
Honda,Civic,2019,15153,1805268,631843
Honda,Amaze,2019,70544,878070,554150
Mahindra,XUV300,2019,94547,1352866,535195
Maruti,Baleno,2023,62994,890836,681715
Tata,Punch,2021,75340,875273,582819
Honda,City,2015,59051,1059395,370788
Maruti,Baleno,2016,61449,851572,377950
Honda,Amaze,2015,75201,812546,284391
Tata,Punch,2017,105469,922291,322801
Hyundai,i20,2024,78013,859666,686937
Honda,City,2018,41495,1194467,457683
Tata,Nexon,2023,52148,1245613,931346
Tata,Punch,2025,72504,905515,835586
Honda,Civic,2025,32273,1792947,1621962
Honda,Civic,2025,72781,1824710,1626890
Mahindra,Scorpio,2025,97365,1661971,1522965
Mahindra,Thar Roxx,2023,55876,1797920,1378716
Tata,Nexon,2020,83446,1244465,489051
Tata,Punch,2022,54800,984952,545702
Hyundai,Venue,2025,18122,1247793,1170134
Honda,Amaze,2020,75563,790427,276649
Maruti,Baleno,2017,11667,818730,286555
Hyundai,i20,2019,43351,745245,444206
Honda,Amaze,2019,82204,818422,286447
Hyundai,Venue,2018,116308,1158929,405625
Tata,Nexon,2015,90586,1290716,451750
Tata,Harrier,2018,73281,1744153,610453
Honda,Civic,2024,97355,1865646,1624470
Hyundai,Venue,2017,52144,1241808,434632
Mahindra,Thar Roxx,2022,51928,1816922,1171147
Hyundai,i20,2018,91533,741591,439504
Maruti,Swift,2018,42989,768253,444181
Maruti,Brezza,2020,11998,1151012,583522
Hyundai,i20,2019,13640,740207,259072
Maruti,Brezza,2017,108916,1004356,435378
Maruti,Baleno,2018,73128,792060,277221
Tata,Harrier,2017,73426,1838228,643379
Maruti,Brezza,2018,23896,1027534,536345
Honda,Civic,2015,45647,1741821,609637
Maruti,Brezza,2024,117911,1181940,970176
Mahindra,XUV300,2019,26520,1364040,477413
Mahindra,XUV300,2019,116866,1305226,787184
Honda,Civic,2017,9581,1786170,808014
Tata,Harrier,2019,13322,1860942,761735
Honda,City,2025,71284,1133761,1026701
Mahindra,Scorpio,2015,72200,1675030,586260
Honda,Civic,2020,59626,1823228,638129
Mahindra,Scorpio,2025,37046,1599963,1444792
Tata,Nexon,2023,112324,1251847,933742
Mahindra,Thar Roxx,2016,94479,1945529,680935
Honda,City,2019,14229,1047821,568329
Honda,Civic,2018,39700,1732367,775569
Maruti,Brezza,2025,110495,1134623,1023406
Honda,City,2024,28669,1026839,869667
